Id,ProcessorId,CatalogItemId
4114,78,612
4115,80,680
4116,78,614
4117,80,716
4118,80,720
4119,78,1069
4120,80,945
4121,74,2496
4122,74,2497
4123,78,1097
4124,74,2498
4125,78,836
4126,74,2499
4127,74,2500
4128,74,2501
4129,78,854
4130,78,2007
4131,78,2264
4132,74,2502
4133,78,2241
4134,74,2503
4135,74,2504
4136,78,2238
4137,74,2505
4138,74,2506
4139,78,2235
4140,74,2507
4141,74,2508
4143,74,2509
4144,74,2510
4145,74,2511
4146,74,2512
4148,74,2513
4149,74,2514
4150,74,2515
4151,74,2516
4152,74,2517
4153,74,2518
4154,74,2519
4155,78,2273
4156,78,548
4157,74,2520
4158,74,2521
4159,74,2522
4160,74,2523
4162,74,2524
4163,74,2525
4164,74,2526
4165,74,2527
4166,74,2528
4168,74,2529
4169,74,2530
4171,74,2531
4172,74,2532
4174,74,2533
4175,74,2534
4176,74,2535
4177,74,2536
4178,74,2537
4179,74,2538
4180,74,2539
4181,74,2540
4182,74,2541
4183,74,2542
4184,68,1027
4185,74,2543
4186,74,2544
4187,68,1106
4188,68,744
4190,68,1906
4191,68,622
4192,68,753
4193,68,621
4194,68,756
4195,68,758
4196,68,760
4197,74,2545
4198,68,763
4199,74,2546
4200,74,2547
4201,74,2548
4202,68,765
4203,74,2549
4204,74,2550
4205,68,769
4206,74,2551
4207,74,2552
4208,74,2553
4209,74,2554
4210,74,2555
4211,74,2556
4212,74,2557
4213,74,2558
4214,74,2559
4215,74,2560
4216,74,2561
4217,74,2562
4219,74,2563
4220,68,778
4221,68,794
4222,68,795
4223,68,796
4224,68,797
4225,68,803
4226,68,804
4227,68,855
4228,68,856
4229,68,857
4230,68,858
4231,68,859
4232,68,860
4233,68,861
4234,68,875
4235,68,876
4236,68,877
4237,68,878
4238,68,879
4239,68,893
4240,68,894
4241,68,895
4242,68,896
4243,68,897
4245,68,898
4246,68,899
4247,68,900
4248,68,901
4249,68,902
4250,68,903
4251,68,904
4252,68,905
4253,68,906
4254,68,907
4255,68,908
4256,68,909
4257,68,910
4258,68,911
4259,68,912
4260,68,1979
4261,68,1984
4262,68,1982
4263,68,913
4264,68,914
4265,68,915
4266,68,2052
4267,68,2061
4268,68,2063
4269,68,2064
4270,68,2055
4271,68,2058
4272,68,1079
4275,68,1082
4276,68,1081
4277,68,1080
4278,68,1083
4279,68,1083
4280,78,673
4281,68,615
4282,68,916
4283,68,724
4284,68,1110
4285,68,1814
4286,68,1802
4287,68,741
4288,68,751
4289,68,1098
4290,68,848
